batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B014256,454,319,57,452,960,464,912,528,438,350,50,405,297,589,640,276,245,787,456,231,804,413,109,922,603,213,653,325,254,761
B044504,726,844,697,551,78,288,862,331,913,82,691,22,449,635,116,377,422,275,342,253,504,158,666,837,775,864,892,147,646,469
B028166,437,555,936,55,366,453,769,411,126,493,979,417,399,445,89,27,733,320,968,782,322,403,517,803,727,842,678,189,950,99
B028554,909,652,582,811,377,69,622,839,968,86,397,253,842,232,273,975,242,454,682,558,648,480,764,968,767,55,209,481,241,197
B026567,907,7,855,794,579,823,851,887,179,859,126,494,502,948,46,995,280,860,992,902,687,755,165,716,170,480,789,900,143,584
B011544,972,439,170,226,143,178,293,839,484,505,584,84,848,243,986,979,507,568,297,455,372,499,401,998,59,222,122,180,189,20
B017734,760,977,494,225,581,403,243,706,126,626,888,453,75,322,40,218,860,701,817,11,355,94,207,476,980,462,566,703,568,913
B047455,617,895,527,293,367,360,430,280,551,499,365,687,212,10,353,75,297,507,216,778,465,744,728,311,542,134,159,910,711,800
B033309,441,935,17,589,355,600,633,180,999,628,346,31,329,891,160,152,154,955,664,430,217,438,772,631,383,735,87,907,582,642
B024741,611,863,912,258,350,665,790,935,205,574,594,439,139,194,891,778,94,462,394,3,7,718,993,405,142,723,943,743,101,693
B048174,292,527,291,390,806,259,502,390,64,583,693,767,281,338,896,916,291,211,920,910,466,438,141,835,340,572,34,380,203,268
B034416,484,78,154,323,890,126,583,388,298,613,10,210,859,996,727,616,172,120,81,780,262,1,493,457,120,84,851,621,393,141
B034978,20,948,644,63,182,732,586,57,511,323,600,438,19,259,745,520,120,78,72,794,566,503,767,474,89,588,655,191,669,317
B031789,328,290,154,922,167,748,891,236,762,241,786,567,141,164,663,646,875,237,570,705,191,762,774,736,782,249,294,10,870,281
B043815,164,788,398,522,559,250,885,580,872,672,919,946,867,153,770,316,69,928,255,302,401,367,735,795,338,305,517,444,394,251
B027588,44,98,961,112,472,940,212,308,578,818,251,820,421,274,909,998,269,177,19,19,530,605,408,615,204,597,13,529,436,909
B002208,94,53,760,87,305,444,766,252,439,752,650,330,354,723,293,688,182,264,607,109,996,875,79,317,140,260,796,997,864,792
B039760,910,596,902,186,33,58,710,650,645,24,580,705,977,991,991,923,482,150,704,409,944,946,566,665,566,679,469,356,159,788
B021900,454,722,523,852,741,923,733,535,551,357,655,781,943,97,149,101,243,36,715,391,966,518,911,734,425,173,470,980,42,553
B044731,536,805,780,28,630,666,684,519,460,574,993,23,429,427,96,449,606,160,226,753,476,678,880,244,944,279,409,394,329,507
B044435,606,759,744,276,432,891,664,628,601,955,707,582,312,170,180,900,167,233,548,621,841,231,661,600,41,844,605,245,982,655
B014185,460,899,537,879,191,765,120,180,996,279,164,940,120,858,418,364,898,708,642,105,127,208,908,101,264,145,161,296,143,949
B000367,62,290,329,727,1,496,252,844,630,362,160,94,23,119,475,447,917,643,123,421,212,830,99,645,252,995,370,848,834,871
B026088,677,301,941,968,680,371,843,497,108,744,482,166,553,552,776,689,819,925,920,502,322,665,221,633,808,446,585,393,538,393
B040800,25,539,293,226,583,603,338,321,831,589,253,701,761,806,606,517,261,150,503,116,464,215,283,817,794,885,788,630,287,705
B021839,407,175,720,566,872,446,220,55,737,250,464,503,483,938,543,543,880,752,108,705,592,907,273,604,246,202,310,126,434,519
B007238,982,132,422,804,870,387,810,466,455,18,885,930,63,106,202,408,105,655,956,489,130,183,295,800,478,937,870,496,14,392
B016762,615,130,877,223,350,849,799,273,766,788,328,970,842,143,82,39,61,969,467,654,55,703,904,234,472,610,768,795,210,886
B012514,586,449,122,279,677,995,138,316,890,650,466,539,256,437,637,548,391,865,747,393,573,502,114,101,158,578,850,838,20,562
B031668,726,745,392,604,597,238,249,86,290,131,701,615,609,238,259,643,84,920,732,736,872,270,520,763,539,338,762,187,727,124
B034636,343,752,511,190,513,177,691,636,757,654,850,514,744,338,885,337,450,976,406,237,748,932,846,135,652,931,89,501,104,510
B010730,199,4,524,965,111,154,631,972,472,245,609,510,680,308,917,580,790,234,191,140,869,775,677,173,608,940,820,319,101,301
B038254,406,740,286,63,87,243,27,568,701,690,887,499,189,784,81,946,247,607,538,52,417,889,163,554,372,386,548,108,913,817
B048416,333,227,761,359,925,68,363,207,181,39,950,602,937,908,923,899,506,690,607,718,575,204,304,806,96,293,642,470,919,709
B015100,307,337,892,588,194,752,365,36,202,623,967,367,188,243,610,782,915,301,570,199,488,856,274,429,343,911,654,369,3,286
B017678,997,945,453,958,17,117,907,270,947,384,767,85,397,611,118,748,833,562,533,273,735,265,428,895,460,74,393,261,361,730
B050321,263,223,439,771,890,985,856,78,612,765,16,150,705,279,771,629,752,979,800,276,805,965,305,138,501,746,958,529,547,143
B008470,698,656,932,991,789,770,771,509,536,514,517,472,756,985,374,442,460,899,368,303,579,640,264,406,681,45,256,459,783,203
B014008,31,815,640,670,801,663,28,236,680,910,354,390,557,810,650,869,451,19,28,595,154,510,15,977,445,463,153,324,619,833
B001504,203,632,4,431,825,498,625,548,605,507,306,631,956,906,204,741,930,576,240,463,262,160,418,124,290,620,46,983,801,874
B048136,825,947,61,220,522,218,565,305,648,419,994,257,134,261,191,925,892,833,52,503,49,644,412,982,277,412,555,738,480,677
B015151,894,496,119,421,188,747,326,854,771,283,718,262,928,332,525,502,407,833,395,701,715,616,125,452,722,711,31,243,682,815
B038159,7,577,377,7,395,687,876,904,860,88,685,718,693,653,5,114,936,97,432,933,633,118,994,655,376,948,479,341,247,960
B041125,423,630,368,252,632,699,141,520,439,300,513,346,972,875,716,884,129,272,262,875,675,490,326,656,387,663,396,464,23,724
B034317,888,978,20,177,191,795,664,243,917,410,277,881,782,632,614,785,119,853,425,260,154,136,422,434,453,936,35,129,200,898
B049790,610,547,65,928,817,89,779,526,145,331,602,637,634,795,12,40,19,279,576,77,941,395,125,767,315,83,244,736,151,469
B042362,310,480,931,970,20,388,171,73,63,284,147,75,27,246,634,385,888,738,154,938,786,945,269,122,800,514,314,294,883,691
B009767,942,182,970,248,505,616,30,984,240,670,655,718,97,520,148,917,544,47,493,413,420,309,480,918,596,914,5,188,908,377
B050099,459,507,454,496,481,442,354,914,994,370,450,882,703,785,178,834,540,795,976,118,350,160,367,131,199,597,693,374,736,207
B013287,347,59,797,888,837,112,139,703,574,943,921,382,175,563,451,605,175,402,888,332,255,367,289,483,615,921,99,866,865,194
B020771,941,824,162,987,709,905,531,241,707,12,181,695,801,308,339,245,779,743,711,466,856,831,35,242,157,241,382,859,727,173
B020430,4,61,927,389,867,852,911,932,532,405,463,672,164,633,279,337,180,630,836,783,578,23,719,171,165,210,466,516,852,605
B018943,814,206,174,325,502,378,549,90,346,903,318,950,753,637,769,924,485,30,786,849,371,63,366,47,884,935,623,819,698,164
B000066,199,847,190,113,677,290,153,576,473,519,265,61,142,40,229,584,97,12,24,233,34,320,617,766,473,71,587,864,799,821
B022943,761,432,415,904,206,142,368,138,403,91,84,650,270,544,957,353,436,287,800,638,699,818,919,219,361,919,917,503,222,261
B029544,16,63,337,195,841,278,874,888,560,521,369,742,554,366,651,812,473,974,390,538,588,465,636,857,17,850,396,816,362,594
B037622,894,712,513,798,921,219,834,903,224,334,815,355,266,189,513,360,228,951,307,606,918,457,366,129,390,953,450,51,768,657
B046559,93,658,328,677,419,967,452,884,29,923,51,666,665,255,288,893,400,48,203,658,838,683,7,495,320,458,514,206,712,932
B050125,868,239,315,168,595,771,611,307,172,186,769,533,769,424,755,963,704,846,64,663,347,565,329,976,24,608,182,327,637,823
B016820,215,10,514,494,374,400,944,153,996,269,442,635,525,721,13,986,778,14,566,218,728,197,678,379,147,44,510,175,862,48
B000848,509,367,562,637,176,46,814,478,632,764,725,190,133,151,687,928,613,519,352,490,75,659,136,73,396,316,676,544,582,508
B013880,874,243,406,779,627,33,471,255,491,964,315,755,13,910,452,698,415,705,745,396,180,337,214,130,702,645,236,604,831,389
B009849,331,44,78,530,534,153,935,820,575,564,693,95,885,972,839,449,412,94,267,532,969,988,211,275,89,578,287,411,155,8
B000486,947,262,562,157,905,793,738,157,853,865,688,854,875,304,937,254,395,415,403,905,706,871,156,604,489,489,5,398,137,501
B044197,255,543,953,119,972,613,375,260,845,39,922,383,538,276,978,276,736,645,406,657,695,960,973,184,830,599,168,62,512,989
B018623,393,933,911,797,371,384,650,441,347,569,62,115,250,177,246,765,980,840,221,906,659,340,221,943,768,659,325,748,529,266
B034044,8,550,543,285,129,995,447,795,44,858,950,935,211,2,59,977,615,956,648,702,64,932,192,572,112,334,948,507,467,429
B027038,92,560,332,61,995,782,823,921,503,748,139,60,803,676,145,706,665,879,308,961,86,407,506,246,376,345,926,707,374,636
B022856,866,827,381,114,353,516,618,77,86,633,490,320,47,480,33,666,130,402,357,382,997,77,275,684,205,975,603,657,542,546
B045893,302,499,203,798,423,799,0,648,290,204,659,483,837,216,262,969,133,130,544,929,514,517,607,371,808,201,719,155,522,776
B034587,607,467,290,173,772,605,765,109,294,728,698,618,153,287,57,744,981,332,309,454,451,382,577,553,885,937,930,73,487,57
B013572,219,663,787,165,705,132,581,444,896,180,910,611,210,539,879,373,943,693,655,555,897,683,347,751,757,467,730,898,327,828
B004432,854,897,137,474,197,159,333,722,55,79,303,169,296,461,831,649,783,501,863,419,338,692,331,375,395,989,70,439,484,96
B023425,572,221,735,219,189,889,391,196,281,670,116,272,557,738,190,661,839,765,56,508,254,159,610,815,217,251,290,855,597,385
B034609,737,930,333,898,892,338,419,579,837,672,859,586,18,113,15,252,4,85,595,586,475,667,532,445,696,854,106,231,196,283
B021022,61,152,468,138,338,644,702,820,630,476,659,510,269,561,988,515,823,73,465,17,140,495,739,317,848,342,564,773,401,379
B034866,34,881,971,462,909,118,167,503,896,933,531,961,518,790,918,826,402,934,952,196,336,285,729,621,975,842,744,569,166,922
B036944,902,623,328,921,345,480,261,696,166,589,832,984,381,929,387,883,726,456,741,8,972,474,673,129,373,176,596,484,827,475
B015566,43,886,717,136,171,981,216,691,892,594,152,981,715,63,342,245,313,857,235,770,822,571,744,113,823,961,850,904,68,988
B000402,489,807,712,299,241,599,625,116,344,838,422,692,836,229,952,162,494,559,93,198,12,690,233,382,758,946,899,292,493,619
B005020,413,901,628,871,741,484,567,282,727,523,497,598,895,876,311,991,990,684,635,338,486,633,847,244,970,544,549,831,858,14
B042746,5,733,66,142,284,694,605,177,867,785,223,787,44,314,822,150,257,85,356,533,148,522,104,434,703,427,321,256,737,971
B022713,273,260,885,38,332,527,842,49,98,677,480,322,435,919,859,909,415,639,249,507,747,250,374,954,239,181,967,531,850,310
B019537,509,911,800,76,57,375,956,160,468,307,708,424,789,315,990,946,762,563,147,676,563,720,375,278,575,37,552,179,96,245
B021223,931,690,592,140,842,134,220,208,738,341,850,568,744,23,992,717,590,64,481,692,660,327,88,673,112,611,654,541,183,202
B007463,709,460,44,614,25,226,187,947,676,5,262,417,252,100,130,604,786,797,923,288,162,106,69,225,134,749,305,195,975,883
B006228,178,171,833,743,28,559,331,323,60,31,246,634,263,449,370,899,302,556,705,152,893,136,721,724,872,918,65,282,648,786
B001905,294,399,542,988,830,311,628,152,53,952,60,218,540,867,698,820,14,271,887,665,47,546,499,164,695,967,358,705,582,523
B032304,513,85,265,348,103,687,390,828,854,689,34,384,699,856,802,365,884,205,847,759,918,339,194,86,182,501,630,741,872,981
B041456,300,449,292,572,747,199,366,782,232,820,628,165,844,302,814,366,385,964,193,524,622,610,643,990,512,193,402,756,139,971
B002665,106,102,299,416,601,400,698,171,900,592,117,977,799,837,439,149,385,706,811,695,506,923,374,180,668,682,266,908,206,701
B021834,446,562,859,5,862,282,620,804,207,496,328,244,431,824,785,585,142,35,442,59,313,179,794,480,872,183,434,284,488,143
B027752,679,610,783,901,896,502,909,194,133,138,125,415,359,425,207,484,604,368,651,541,104,624,333,204,780,84,281,409,438,782
B047393,876,874,865,305,75,585,920,577,287,988,585,522,331,511,248,840,806,812,938,245,832,718,728,859,969,260,544,152,378,204
B045374,955,813,152,917,823,673,5,773,163,464,105,831,858,648,396,84,700,103,593,795,652,907,769,255,365,81,908,304,503,935
B025405,200,92,386,402,828,771,590,836,692,586,430,455,914,88,667,285,966,722,17,215,135,485,332,746,311,420,433,449,776,364
B034841,842,317,292,148,156,254,686,295,838,880,408,30,613,959,444,246,244,306,986,883,335,324,582,538,84,668,430,110,998,876
B043394,85,371,293,975,445,143,226,161,59,302,922,622,117,993,852,676,751,173,714,138,251,79,998,656,165,612,324,806,82,59
B003506,750,156,505,771,573,712,516,766,764,715,185,603,913,37,994,59,170,208,159,350,784,872,743,937,838,48,950,865,464,986
B009049,354,172,573,134,142,514,646,193,174,147,380,79,204,256,72,108,976,52,794,975,116,383,828,780,462,303,993,902,302,543
B013711,333,270,338,935,28,874,862,169,973,978,497,390,888,867,323,427,883,71,195,125,769,173,117,782,57,959,110,950,551,479
B041524,970,715,868,354,583,749,67,283,482,901,79,304,4,98,232,733,289,91,165,941,562,356,822,918,700,434,843,153,829,38
B036887,373,816,0,142,122,526,257,11,318,616,224,340,353,149,914,639,654,414,912,413,737,507,205,656,352,833,542,43,840,767
B031075,888,487,418,457,606,757,261,385,117,793,922,889,178,591,500,593,631,691,977,353,949,234,715,468,132,49,303,23,960,336
B005811,850,973,164,451,388,913,50,719,71,243,781,372,988,452,644,834,467,936,293,146,783,130,127,482,747,471,198,942,159,243
B032937,514,721,216,896,650,145,31,333,721,157,628,271,204,29,792,52,590,251,583,607,938,703,505,710,516,693,98,409,725,907
B014492,605,970,208,615,52,668,926,179,350,184,294,223,303,157,604,110,334,384,663,870,7,255,182,629,660,155,874,954,635,639
B027665,227,348,129,806,74,27,488,923,196,350,962,350,411,4,978,946,734,562,397,781,402,151,894,531,566,194,828,36,510,742
B031212,514,369,885,595,768,888,328,326,509,425,23,327,730,944,794,164,371,166,931,527,939,865,733,242,457,821,155,219,381,17
B006692,458,248,219,776,408,548,867,712,778,379,542,776,737,307,419,341,592,909,112,570,984,123,450,350,0,272,637,321,948,57
B020840,999,774,348,269,51,48,499,326,814,635,234,144,889,574,228,583,996,172,567,547,680,16,62,240,437,762,271,262,640,675
B022744,929,465,372,911,315,42,165,293,381,230,687,203,211,184,585,190,39,697,175,334,607,349,93,721,753,442,78,515,630,96
B039139,997,469,658,296,702,747,776,279,328,0,444,679,807,94,344,382,9,270,110,508,700,183,545,420,356,832,975,937,709,204
B045736,403,619,162,530,94,874,486,309,496,538,238,284,992,740,984,143,182,411,126,694,167,224,146,743,689,669,780,740,505,284
B028368,763,212,427,542,142,236,639,258,97,268,397,31,334,860,929,858,22,20,916,243,364,707,179,400,647,248,287,713,948,801
B005559,444,411,532,942,813,373,381,640,432,789,763,594,62,990,373,404,820,634,310,736,385,989,111,450,66,930,671,604,801,645
B037613,235,390,618,978,551,973,180,435,785,501,120,72,942,600,820,185,457,617,38,41,921,503,679,493,951,307,142,45,99,924
B020448,101,656,104,76,924,445,102,492,455,49,995,834,603,879,896,951,287,608,551,959,192,21,971,807,549,301,883,11,390,861
B012360,511,460,178,490,394,970,734,438,994,849,932,504,28,864,383,725,125,57,334,163,329,510,996,180,112,741,935,942,398,622
B006618,313,427,314,792,497,743,270,580,951,628,386,888,667,708,723,973,787,897,207,854,928,838,52,228,795,115,780,604,343,133
B022405,385,942,111,506,485,522,377,872,508,540,461,134,225,978,484,936,306,399,42,376,13,863,492,893,742,539,81,543,724,298
B016724,405,807,821,775,576,261,966,894,973,180,960,10,232,592,959,259,304,36,154,66,724,555,174,421,601,735,851,696,11,571
B006790,820,169,686,455,607,304,397,494,468,859,609,829,125,577,58,880,473,186,357,649,345,794,240,152,669,688,892,273,336,52
B023121,809,851,58,207,54,88,827,921,429,657,497,105,473,470,17,47,356,947,280,232,334,454,619,812,281,950,420,264,579,992
B026681,340,750,290,556,338,898,154,288,951,890,989,903,81,436,542,618,352,721,524,909,914,165,666,442,404,390,267,494,147,85
B005418,118,748,61,544,599,957,261,407,430,199,640,853,705,45,608,176,127,558,774,406,866,256,824,380,288,863,156,562,179,188
B031635,498,43,766,545,618,993,14,24,546,919,958,847,444,179,123,689,154,271,198,264,546,622,735,500,258,425,541,830,358,103
B030348,707,952,7,254,731,347,189,187,527,493,164,24,874,788,759,543,251,487,880,296,318,483,403,526,842,339,97,443,341,196
B046053,505,733,950,814,575,41,654,299,498,563,280,932,909,343,897,756,694,34,974,425,923,776,262,900,315,623,902,408,942,679
B017846,948,966,197,212,572,85,525,287,906,322,320,65,344,56,807,980,63,596,624,483,748,540,780,449,732,879,338,895,670,829
B034622,529,968,461,203,70,146,845,641,543,369,442,906,383,464,545,204,888,279,470,362,664,947,983,836,458,384,925,289,866,525
B026373,54,281,570,955,590,776,229,743,221,399,522,532,350,523,194,478,694,613,158,600,317,197,130,504,496,543,35,556,603,190
B036619,386,647,680,317,80,302,467,543,120,945,497,802,36,46,615,561,340,115,79,914,531,460,668,590,52,367,961,745,539,961
B021734,790,423,983,268,749,31,911,727,156,542,245,351,393,142,448,967,253,984,938,837,592,974,910,36,720,69,430,172,711,944
B041779,954,541,411,781,683,989,936,90,518,344,460,550,772,872,976,317,537,229,764,250,347,773,783,249,420,83,547,503,571,694
B047827,246,840,607,76,45,818,994,849,227,368,303,458,388,935,933,118,221,221,598,494,620,421,482,127,313,989,247,868,913,688
B013442,449,984,435,360,545,666,327,845,832,706,428,887,447,652,502,107,698,321,602,313,290,65,704,288,101,701,878,210,433,649
B005242,71,610,223,720,713,683,376,9,448,9,827,256,630,579,426,49,715,140,263,934,643,203,655,549,952,131,268,728,261,471
B026740,155,333,304,385,379,557,658,560,305,612,682,793,652,347,294,536,372,492,381,168,161,32,152,921,950,902,860,906,601,380
B029099,748,406,910,176,436,822,344,896,679,173,248,442,20,496,958,43,200,136,951,752,795,757,204,975,146,24,3,201,97,446
B010742,488,346,274,335,254,701,241,233,648,200,626,498,402,15,355,340,986,444,900,787,311,384,971,271,827,682,280,238,301,13
B003147,553,937,516,776,439,203,261,533,730,220,662,183,569,893,787,548,862,282,199,520,952,681,771,172,677,180,700,798,913,693
B023666,121,421,757,366,656,997,684,101,730,554,392,90,183,418,960,448,332,434,25,185,13,25,558,536,54,685,505,796,914,40
B007984,652,143,655,510,154,55,729,950,799,658,645,335,289,724,264,607,359,593,472,157,481,93,180,634,435,662,627,510,18,606
B001282,413,508,965,854,975,445,173,667,690,970,26,387,55,962,38,387,804,221,767,825,639,521,956,717,480,715,716,431,489,997
B009008,398,335,696,565,512,650,352,625,756,631,224,830,369,319,425,871,216,620,318,648,877,679,857,814,322,216,9,791,554,672
B034702,612,755,431,595,401,991,134,203,300,505,49,472,835,413,413,145,942,912,41,930,670,283,635,155,733,222,633,841,935,809
B026688,684,333,486,939,729,184,805,827,104,14,933,150,227,380,729,381,944,608,898,980,930,495,59,518,265,976,160,279,65,673
B031880,63,955,990,862,71,113,566,832,434,246,99,780,97,799,963,467,532,899,701,474,832,133,474,199,376,229,914,95,746,878
B045136,207,430,935,598,771,611,106,298,128,457,880,346,102,96,170,26,595,640,311,193,346,312,581,477,261,533,210,151,614,602
B006520,901,560,967,999,205,906,807,657,946,42,917,168,499,736,991,20,661,220,510,298,115,480,67,907,582,918,598,363,266,61
B048533,75,373,488,365,733,722,658,303,201,825,752,368,853,432,548,396,633,921,881,638,549,336,649,868,227,970,226,558,506,663
B025220,217,634,953,849,232,790,844,830,200,811,828,375,14,890,850,775,106,533,903,176,207,198,781,907,230,944,812,183,410,131
B031779,823,977,90,150,938,860,885,687,94,150,992,286,46,714,54,293,371,383,38,549,915,405,369,556,786,406,747,370,751,301
B013382,307,914,667,877,447,375,583,519,767,633,868,77,891,339,636,801,472,100,852,326,71,988,340,747,732,953,41,191,207,680
B011669,136,797,119,54,690,481,975,613,142,82,904,705,21,241,603,113,452,585,508,858,740,283,571,40,15,217,199,553,957,117
B039070,771,123,42,819,89,748,695,725,139,540,320,153,339,411,116,177,433,694,650,476,439,690,321,713,44,836,688,94,961,381
B030377,26,978,979,434,256,439,53,422,344,10,494,669,366,510,736,433,124,270,5,853,431,41,115,338,487,608,472,508,434,220
B025652,383,794,948,437,490,576,851,292,202,902,889,488,247,927,126,341,589,956,687,744,435,765,532,640,206,143,501,38,708,694
B013898,95,72,340,940,162,412,205,499,197,398,834,170,461,518,153,761,721,455,658,452,961,198,338,884,868,85,29,154,869,342
B031242,22,269,149,853,2,820,603,528,94,145,484,113,142,393,504,688,827,427,816,357,561,400,537,132,665,345,457,239,492,876
B005029,733,96,69,898,670,353,504,616,833,502,294,457,730,8,143,281,398,42,555,432,426,715,703,320,473,885,460,431,584,645
B018833,925,16,219,811,723,847,808,358,647,491,826,592,900,61,989,423,730,787,123,913,134,266,29,460,960,111,49,175,917,35
B030508,810,754,197,147,933,311,339,537,233,187,756,724,48,599,165,299,586,965,773,169,540,494,671,219,389,358,315,447,692,675
B026881,617,482,710,414,755,747,368,713,191,550,452,374,889,329,528,36,567,859,715,786,620,869,99,969,899,514,697,972,852,617
B009735,169,499,28,283,487,77,679,499,562,163,552,693,203,788,612,241,954,674,116,842,119,130,572,550,41,30,801,614,47,981
B013731,176,400,933,140,3,403,885,65,224,889,173,470,84,891,104,420,751,269,841,591,451,297,104,740,923,678,110,716,472,522
B007667,167,525,568,325,804,558,654,681,696,573,378,336,643,164,106,944,182,121,11,827,368,971,755,704,334,963,518,693,73,907
B046003,888,418,50,867,983,706,630,484,244,995,679,441,303,475,235,726,20,427,832,707,968,641,547,937,522,846,125,816,299,973
B003865,115,974,771,825,754,250,983,566,145,716,331,113,835,589,964,243,375,778,706,648,252,680,781,642,992,862,951,782,351,945
B009162,631,214,620,124,637,605,328,598,66,491,854,378,825,619,990,587,870,652,929,855,748,265,958,18,230,507,610,227,330,158
B018857,837,412,986,495,671,417,916,986,400,26,18,555,33,895,474,705,501,258,652,365,37,963,858,39,947,412,572,628,59,918
B000947,9,844,828,388,963,487,124,174,615,369,912,42,578,56,27,673,268,638,262,329,429,667,919,610,93,501,40,132,459,554
B007710,994,334,7,511,925,455,507,428,732,582,482,885,211,227,204,81,461,855,960,615,308,745,506,359,547,667,176,712,779,152
B017193,225,166,491,491,429,210,720,974,655,211,678,877,550,433,749,57,624,977,311,159,350,548,295,742,941,88,44,644,978,878
B014272,885,948,384,58,601,925,199,355,567,997,567,205,165,313,276,451,88,56,299,113,165,804,295,396,347,149,849,122,6,312
B021668,756,221,594,232,98,832,42,831,570,940,316,199,51,780,49,666,324,625,21,988,120,706,454,573,861,449,620,468,291,269
B036256,732,491,560,9,170,745,336,270,117,163,405,857,81,818,188,727,911,961,785,893,170,719,339,114,904,169,653,388,253,623
B020525,790,207,587,247,917,805,550,73,507,261,362,905,478,477,14,523,862,633,292,306,52,706,822,0,120,797,1,387,667,952
B026738,465,768,126,467,122,996,758,169,675,197,121,480,356,765,565,571,905,674,387,614,936,962,971,431,879,217,432,717,820,57
B002565,125,503,28,131,382,223,289,390,269,995,62,935,690,430,334,486,894,418,316,84,807,430,459,48,610,153,902,146,931,763
B048769,297,5,531,562,295,696,367,343,104,22,524,344,311,33,903,926,562,174,207,583,776,57,184,25,885,149,535,731,297,275
B045324,410,825,464,280,272,111,789,90,947,236,340,654,403,283,150,399,820,938,222,232,170,988,736,763,268,791,957,526,7,236
B030796,158,155,725,998,853,789,472,157,159,695,144,842,642,670,134,983,393,77,166,909,290,381,695,37,716,203,782,465,999,450
B003542,891,133,612,997,266,760,764,884,492,186,863,689,770,938,819,566,165,772,482,178,545,521,899,899,184,789,794,16,517,510
B001037,666,74,0,387,353,636,345,756,31,442,167,130,794,644,748,953,208,914,876,485,131,319,457,542,58,793,340,738,221,586
B012045,668,548,95,748,720,600,499,881,619,293,799,621,803,190,7,797,29,932,690,38,630,837,751,417,531,20,194,942,79,825
B024483,177,405,88,401,608,679,535,379,3,653,409,598,277,386,653,409,798,659,886,707,340,756,98,628,290,928,672,247,2,25
B026803,577,220,760,860,985,565,833,864,579,588,629,490,28,617,438,808,792,424,722,530,657,878,591,759,567,843,921,270,513,573
B044267,578,630,936,855,490,622,880,719,795,577,229,107,762,89,896,15,683,34,890,62,77,589,732,442,922,374,852,869,624,150
B044617,153,189,467,457,4,637,820,62,675,833,779,543,882,416,895,547,363,786,118,279,236,225,489,885,627,4,473,282,575,755
B016690,988,334,942,486,661,223,172,786,32,236,118,416,118,959,886,166,631,695,631,278,262,487,433,467,800,768,474,683,388,514
B000506,416,330,913,404,761,541,202,363,678,243,124,678,776,930,691,58,481,639,50,268,605,542,396,173,908,518,966,301,742,620
B019905,280,539,669,357,118,512,273,668,321,578,360,773,94,418,968,297,750,2,109,693,95,962,962,378,210,601,51,73,172,327
B015642,915,718,211,466,82,930,916,31,776,737,973,288,573,26,250,167,606,870,399,605,967,315,170,548,253,96,994,5,348,848
B032387,220,181,270,974,541,648,869,513,725,396,872,202,534,833,563,410,891,601,606,899,716,102,137,558,246,203,546,972,975,807
B043562,153,122,413,33,660,829,169,109,137,736,870,655,674,648,368,175,686,861,902,867,793,771,797,699,849,656,139,670,811,780
B010060,401,889,293,847,36,454,122,26,242,517,378,335,127,969,309,758,287,645,569,425,926,288,699,992,146,459,182,199,138,950
B026317,575,625,214,929,364,331,131,760,734,164,372,884,610,504,92,438,568,998,260,116,108,122,874,26,18,517,920,779,591,844
B027938,984,490,641,747,79,500,763,904,763,722,258,449,15,816,649,25,491,658,916,792,525,771,449,305,335,562,737,588,374,357
B041774,580,703,139,465,610,214,274,391,320,715,166,851,704,284,109,560,16,133,214,783,893,710,373,434,529,744,930,272,954,718
B016901,652,651,819,617,532,107,978,919,8,828,565,178,847,237,41,880,189,858,353,326,969,527,46,862,68,63,747,705,126,539
B007429,69,416,157,236,74,656,134,360,549,893,762,904,624,744,686,322,635,947,76,345,848,37,257,369,649,820,80,512,272,689
B044084,179,805,819,74,927,576,230,575,141,12,116,750,260,637,583,482,536,95,983,759,903,483,689,843,349,540,26,967,315,105
B034909,608,133,2,575,26,21,715,218,54,24,807,455,332,340,833,507,21,697,717,231,184,732,559,14,970,587,5,994,917,688
B038450,542,132,865,509,707,950,299,766,688,339,592,474,476,193,390,370,681,947,230,279,366,92,371,577,660,559,115,93,871,404
B018740,905,709,152,855,784,329,640,688,534,424,743,188,179,754,365,189,421,872,649,507,828,711,328,403,464,541,70,264,118,614
B028825,63,183,951,312,380,76,597,304,560,478,937,667,663,305,694,979,267,916,562,354,618,630,481,487,71,339,363,94,715,38
B024835,415,365,873,876,700,442,75,524,200,882,371,556,325,129,75,533,644,289,811,397,340,550,159,302,166,807,721,291,725,490
B038372,338,58,520,404,147,176,42,320,164,867,660,313,419,112,914,739,714,59,467,468,220,533,812,750,394,473,898,530,249,698
B042432,132,426,181,258,172,839,701,489,459,559,55,918,743,540,946,617,392,31,460,674,254,689,443,501,383,635,91,332,259,482
B049017,901,469,223,660,141,539,767,324,56,715,727,433,828,712,708,522,40,468,404,485,399,609,52,759,434,668,713,726,222,826
B004306,835,212,758,964,475,719,523,596,970,516,62,195,593,683,763,503,648,312,15,111,703,445,111,547,173,449,225,98,205,5
B041327,871,200,962,602,77,175,572,602,961,720,354,473,958,448,161,538,422,281,617,712,134,577,590,226,313,577,701,811,315,132
B040317,830,502,338,507,995,130,736,939,83,19,693,782,509,589,558,363,805,727,503,855,73,203,383,250,170,881,404,270,980,809
B048708,7,909,426,830,557,664,679,274,852,601,839,146,172,473,737,740,749,143,12,567,156,214,939,579,71,674,628,997,721,458
B003877,222,874,6,836,700,177,563,593,466,200,672,29,450,121,396,828,706,37,215,308,885,668,587,767,127,776,49,81,72,152
